arithmetic_mean_speedup,base_avg_ms,base_database,base_median_ms,base_p95_ms,base_success_rate,base_wins,faster,geomean_speedup,median_speedup,other_avg_ms,other_database,other_median_ms,other_p95_ms,other_success_rate,other_wins,query_count,query_id,record_type,speedup,ties,total_time_ratio
,46.21,YMatrix,47.82,51.79,1.0,,YMatrix,,,170.39,MySQL,168.38,219.57,1.0,,,q15,query,3.521121,,
,25.71,YMatrix,25.48,28.74,1.0,,YMatrix,,,43.04,MySQL,36.56,62.14,1.0,,,q16,query,1.434851,,
,126.22,YMatrix,121.84,151.85,1.0,,MySQL,,,59.62,MySQL,63.75,77.24,1.0,,,q17,query,0.523227,,
,411.5,YMatrix,417.6,457.32,1.0,,MySQL,,,258.66,MySQL,257.51,302.25,1.0,,,q18,query,0.616643,,
,7.26,YMatrix,6.91,8.73,1.0,,YMatrix,,,25.47,MySQL,27.66,32.44,1.0,,,q19,query,4.002894,,
,70.39,YMatrix,69.49,84.12,1.0,,MySQL,,,16.61,MySQL,14.88,21.36,1.0,,,q2,query,0.214132,,
,262.01,YMatrix,261.03,286.55,1.0,,MySQL,,,64.33,MySQL,56.7,116.53,1.0,,,q20,query,0.217216,,
,69.67,YMatrix,70.39,72.35,1.0,,YMatrix,,,706.52,MySQL,707.49,814.43,1.0,,,q21,query,10.051002,,
,38.35,YMatrix,40.34,48.31,1.0,,MySQL,,,26.54,MySQL,16.76,54.88,1.0,,,q22,query,0.415469,,
,36.52,YMatrix,34.3,44.01,1.0,,YMatrix,,,259.38,MySQL,232.78,404.21,1.0,,,q3,query,6.786589,,
,20.35,YMatrix,19.93,25.95,1.0,,YMatrix,,,60.57,MySQL,39.92,133.43,1.0,,,q4,query,2.003011,,
,43.68,YMatrix,53.96,56.6,1.0,,YMatrix,,,130.61,MySQL,103.36,214.44,1.0,,,q5,query,1.915493,,
,24.15,YMatrix,24.09,26.22,1.0,,YMatrix,,,195.55,MySQL,189.45,214.53,1.0,,,q6,query,7.864259,,
,32.36,YMatrix,32.01,35.8,1.0,,YMatrix,,,87.06,MySQL,79.13,110.58,1.0,,,q7,query,2.47204,,
,79.41,YMatrix,66.89,105.28,1.0,,MySQL,,,70.1,MySQL,65.55,110.15,1.0,,,q8,query,0.979967,,
,65.58,YMatrix,62.0,77.06,1.0,,YMatrix,,,754.5,MySQL,615.22,1145.38,1.0,,,q9,query,9.922903,,
